name,m_f,approx_percentage,num_in_us,rank,source_census,source_web
AARON,m,0.24,"350,151",77,1990,http://names.mongabay.com/male_names_alpha.htm
ABDUL,m,0.007,"10,213",831,1990,http://names.mongabay.com/male_names_alpha.htm
ABE,m,0.006,"8,754",854,1990,http://names.mongabay.com/male_names_alpha.htm
ABEL,m,0.019,"27,720",485,1990,http://names.mongabay.com/male_names_alpha.htm
ABRAHAM,m,0.035,"51,064",347,1990,http://names.mongabay.com/male_names_alpha.htm
ABRAM,m,0.005,"7,295",1053,1990,http://names.mongabay.com/male_names_alpha.htm
ADALBERTO,m,0.005,"7,295",1040,1990,http://names.mongabay.com/male_names_alpha.htm
ADAM,m,0.259,"377,871",69,1990,http://names.mongabay.com/male_names_alpha.htm
ADAN,m,0.008,"11,672",752,1990,http://names.mongabay.com/male_names_alpha.htm
ADOLFO,m,0.014,"20,425",567,1990,http://names.mongabay.com/male_names_alpha.htm
ADOLPH,m,0.011,"16,049",642,1990,http://names.mongabay.com/male_names_alpha.htm
ADRIAN,m,0.069,"100,668",227,1990,http://names.mongabay.com/male_names_alpha.htm
AGUSTIN,m,0.015,"21,884",563,1990,http://names.mongabay.com/male_names_alpha.htm
AHMAD,m,0.006,"8,754",885,1990,http://names.mongabay.com/male_names_alpha.htm
AHMED,m,0.005,"7,295",1000,1990,http://names.mongabay.com/male_names_alpha.htm
AL,m,0.023,"33,556",435,1990,http://names.mongabay.com/male_names_alpha.htm
ALAN,m,0.204,"297,628",91,1990,http://names.mongabay.com/male_names_alpha.htm
ALBERT,m,0.314,"458,114",54,1990,http://names.mongabay.com/male_names_alpha.htm
ALBERTO,m,0.053,"77,325",270,1990,http://names.mongabay.com/male_names_alpha.htm
ALDEN,m,0.006,"8,754",889,1990,http://names.mongabay.com/male_names_alpha.htm
ALDO,m,0.007,"10,213",849,1990,http://names.mongabay.com/male_names_alpha.htm
ALEC,m,0.006,"8,754",930,1990,http://names.mongabay.com/male_names_alpha.htm
ALEJANDRO,m,0.043,"62,735",305,1990,http://names.mongabay.com/male_names_alpha.htm
